Hour	Tamb	tAmbDry	relHum	vWind	dirWind	pAmb_Pa	AISZ	AISA	IT_H	IB_H	ID_H	AI_H	IT_N	AI_N	IB_N	IT_S	IB_S	ID_S	AI_S	IT_E	IB_E	ID_E	AI_E	IT_W	IB_W	ID_W	AI_W	IT_surfUser_1	IB_surfUser_1	ID_surfUser_1	IDS_surfUser_1	IDG_surfUser_1	AI_surfUser_1	IT_surfUser_2	IB_surfUser_2	ID_surfUser_2	IDS_surfUser_2	IDG_surfUser_2	AI_surfUser_2	day	bool2	oldDayTemp	hour	bool	weight	TambSmooth
3671	6.325281143	6.325281143	0.890699234	0	0	95426.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.591666667	5.629814291
3672	6.32025528	6.32025528	0.890767593	0	0	95426.16406	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.6	5.640991974
3673	6.3155303	6.3155303	0.890833969	0	0	95425.82813	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.608333333	5.65226893
3674	6.310905933	6.310905933	0.890900421	0	0	95425.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.616666667	5.663529181
3675	6.306327343	6.306327343	0.890966797	0	0	95425.16406	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.625	5.67474097
3676	6.301740646	6.301740646	0.891033249	0	0	95424.83594	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.633333333	5.685871315
3677	6.297091007	6.297091007	0.891099625	0	0	95424.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.641666667	5.696884827
3678	6.292324066	6.292324066	0.891166077	0	0	95424.17188	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.65	5.707744598
3679	6.287237167	6.287237167	0.891234436	0	0	95423.82813	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.658333333	5.718314282
3680	6.282064915	6.282064915	0.891300812	0	0	95423.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.666666667	5.728742282
3681	6.276610851	6.276610851	0.891367188	0	0	95423.16406	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.675	5.738893855
3682	6.270820618	6.270820618	0.89143364	0	0	95422.82813	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.683333333	5.74872481
3683	6.264639378	6.264639378	0.891500015	0	0	95422.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.691666667	5.758188816
3684	6.258012772	6.258012772	0.891566467	0	0	95422.17188	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.7	5.767238045
3685	6.250886917	6.250886917	0.891632843	0	0	95421.83594	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.708333333	5.775823196
3686	6.243206501	6.243206501	0.891699295	0	0	95421.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.716666667	5.783892147
3687	6.23466444	6.23466444	0.891767654	0	0	95421.16406	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.725	5.791208398
3688	6.225692749	6.225692749	0.89183403	0	0	95420.82813	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.733333333	5.79806722
3689	6.216002464	6.216002464	0.891900406	0	0	95420.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	2	1	0.741666667	5.804243557
3690	6.20553875	6.20553875	0.891966858	0	0	95420.16406	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.75	5.809678316
3691	6.193897247	6.193897247	0.892282257	0	0	95420.16406	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.758333333	5.814045525
3692	6.179037094	6.179037094	0.892846756	0	0	95420.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.766666667	5.815751076
3693	6.160841942	6.160841942	0.893411179	0	0	95420.82813	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.775	5.814624333
3694	6.138887405	6.138887405	0.893992233	0	0	95421.17188	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.783333333	5.810249488
3695	6.114679337	6.114679337	0.894556656	0	0	95421.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.791666667	5.803724686
3696	6.087881565	6.087881565	0.895121155	0	0	95421.83594	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.8	5.794724655
3697	6.058739662	6.058739662	0.895685577	0	0	95422.17188	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.808333333	5.783383155
3698	6.027499676	6.027499676	0.89625	0	0	95422.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.816666667	5.769842521
3699	5.994407654	5.994407654	0.896814499	0	0	95422.82813	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	3	1	0.825	5.754253292
